name,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula
14/03/2022 09:00,176.5403354,231.8019529,67.2178799,576.9219912,714.9615476,191.4314583,175.8397998,54.66414464,241.8019658,1316.238942,686.0465855,1454.958616,1275.081864,1185.639843,935.7770983,360.8925429,915.4323953,1968.315139,534.875753,638.0212438,365.5887084,1316.03622,1995.510604,624.2788828,4177.082217,681.7534346,350.4744448,918.2228704,1216.588838
14/03/2022 10:00,181.5873755,238.428845,69.13954462,593.4153801,735.4012935,196.9042146,180.8668125,56.22691571,248.7147442,1353.868364,705.6596933,1496.553838,1311.534663,1219.53562,962.5296505,371.2099535,941.6033209,2024.586502,550.1670991,656.2613745,376.0403758,1353.659846,2052.559448,642.1261387,4296.499127,701.2438072,360.4940167,944.4735719,1251.369403
14/03/2022 11:00,184.9458467,242.8386031,70.41828532,604.390639,749.0025917,200.5459718,184.2119568,57.26683644,253.3147408,1378.908254,718.7109185,1524.232706,1335.791588,1242.091016,980.3317035,378.0755075,959.0183401,2062.031371,560.342478,668.3989744,382.9952688,1378.695879,2090.521678,654.0023065,4375.963178,714.2133603,367.1613787,961.9416765,1274.513567
14/03/2022 12:00,186.0379305,244.2725369,70.83409715,607.9594958,753.4253653,201.7301726,185.2997071,57.60499049,254.810535,1387.050547,722.9548233,1533.233124,1343.679283,1249.42542,986.1204488,380.3079996,964.6812324,2074.207427,563.6512355,672.345793,385.2568116,1386.836918,2102.865967,657.8641144,4401.802735,718.4307076,369.3294241,967.6218308,1282.039422
14/03/2022 13:00,186.9264094,245.4391323,71.17238621,610.8629851,757.0235697,202.6935943,186.1846604,57.88010006,256.0274576,1393.674815,726.4075067,1540.555529,1350.096418,1255.392418,990.829957,382.1242723,969.2883513,2084.113415,566.3431177,675.5567781,387.0967188,1393.460166,2112.908821,661.005938,4422.824838,721.8617847,371.0932654,972.2429934,1288.162178
14/03/2022 14:00,186.9650803,245.4899082,71.18711021,610.9893592,757.1801812,202.7355272,186.2231779,57.89207418,256.0804241,1393.963136,726.5577844,1540.874236,1350.375723,1255.652131,991.0349378,382.2033254,969.4888757,2084.544572,566.4602816,675.6965359,387.1768005,1393.748442,2113.345936,661.1426855,4423.739823,722.011122,371.1700364,972.444129,1288.428671
14/03/2022 15:00,194.9377017,255.958163,74.22269244,637.0433518,789.4680869,211.3806367,194.1641628,60.36072547,267.0002828,1453.404932,757.5398806,1606.58066,1407.958852,1309.196028,1033.294949,398.5013549,1010.830113,2173.434351,590.6154519,704.5097915,403.6869105,1453.181084,2203.463871,689.3353314,4612.378271,752.7993381,386.9975811,1013.911385,1343.370235
14/03/2022 16:00,208.1464475,273.3015824,79.25193343,680.2086485,842.9615016,225.7035362,207.3204946,64.45069613,285.0919031,1551.885915,808.8698782,1715.440647,1503.360463,1397.905587,1103.30978,425.5033308,1079.322754,2320.703666,630.6348495,752.2465335,431.0402534,1551.646898,2352.767951,736.0438701,4924.907514,803.8081221,413.220075,1082.612809,1434.395398
14/03/2022 17:00,221.9067713,291.3692376,84.49118816,725.1764647,898.6887229,240.6245389,221.0262155,68.71145799,303.9390029,1654.479319,862.3433413,1828.846467,1602.745904,1490.319528,1176.248329,453.6328696,1150.675548,2474.122733,672.3253985,801.976692,459.5358319,1654.224501,2508.306751,784.7028891,5250.48752,856.9469583,440.5375818,1154.183105,1529.221638
14/03/2022 18:00,239.1827229,314.0530017,91.06902114,781.6331175,968.6537033,259.3577118,238.2336138,74.06080274,327.6013521,1783.284332,929.4787502,1971.226364,1727.523353,1606.344325,1267.821962,488.94923,1240.258281,2666.738868,724.6674744,864.4124187,495.3117514,1783.009677,2703.58419,845.7938106,5659.250028,923.6622465,474.834444,1244.038909,1648.275053
